URL,Page purpose,Current title,Recommended title,Current meta description,Recommended meta description,Current H1,Recommended H1,Primary search intent,Primary keyword/topic,Indexability,Canonical,Schema,H2/H3 review,Robots / indexability,Open Graph,Images / alt text,Internal links,External links,Duplicate / cannibalization,Content issues,Performance / CWV,Mobile / accessibility,CTA / local SEO,Entity / factual accuracy,Priority,Status,Redirect target,Word count,Issues
/blog/baby-blues-postpartum-depression-psychosis,Medical informational page for baby blues postpartum depression psychosis,"Baby Blues, Postpartum Depression or Postpartum Psychosis?","Baby Blues, Postpartum Depression or Postpartum Psychosis?","Understand common baby blues, treatable postpartum depression and emergency signs of postpartum psychosis after childbirth.","Understand common baby blues, treatable postpartum depression and emergency signs of postpartum psychosis after childbirth.","Baby Blues, Postpartum Depression or Postpartum Psychosis?","Baby Blues, Postpartum Depression or Postpartum Psychosis?",Medical informational,"baby blues, postpartum depression or postpartum psychosis?",Indexable — included in sitemap,http://localhost:3000/blog/baby-blues-postpartum-depression-psychosis,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 2 H3 — Key points | Baby blues | Postpartum depression and anxiety | Postpartum psychosis,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,26 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,166 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,932,None
/blog/chronic-insomnia-guide,Medical informational page for chronic insomnia guide,A Better Way to Think About Chronic Insomnia,A Better Way to Think About Chronic Insomnia,"Why chronic insomnia is not solved by sleep hygiene alone, how CBT-I works, and when snoring or daytime sleepiness needs medical review.","Why chronic insomnia is not solved by sleep hygiene alone, how CBT-I works, and when snoring or daytime sleepiness needs medical review.",A Better Way to Think About Chronic Insomnia,A Better Way to Think About Chronic Insomnia,Medical informational,a better way to think about chronic insomnia,Indexable — included in sitemap,http://localhost:3000/blog/chronic-insomnia-guide,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 3 H3 — Key points | What keeps insomnia going | What CBT-I does | Medicines and substances,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,26 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,166 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,934,None
/blog/depression-vs-sadness,Medical informational page for depression vs sadness,Depression or Sadness? How to Understand the Difference,Depression or Sadness? How to Understand the Difference,"Sadness is human; depression is a wider pattern affecting body, thinking and function. Learn signs that deserve a professional assessment.","Sadness is human; depression is a wider pattern affecting body, thinking and function. Learn signs that deserve a professional assessment.",Depression or Sadness? How to Understand the Difference,Depression or Sadness? How to Understand the Difference,Medical informational,depression or sadness? how to understand the difference,Indexable — included in sitemap,http://localhost:3000/blog/depression-vs-sadness,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 3 H3 — Key points | Look beyond mood alone | Context still matters | Treatment is not one-size-fits-all,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,26 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,168 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,982,None
/blog/how-to-talk-to-someone-experiencing-psychosis,Medical informational page for how to talk to someone experiencing psychosis,How to Talk to Someone Who May Be Experiencing Psychosis,How to Talk to Someone Who May Be Experiencing Psychosis,"A calm, practical family guide to voices, suspicious beliefs, confusion and urgent warning signs in psychosis.","A calm, practical family guide to voices, suspicious beliefs, confusion and urgent warning signs in psychosis.",How to Talk to Someone Who May Be Experiencing Psychosis,How to Talk to Someone Who May Be Experiencing Psychosis,Medical informational,how to talk to someone who may be experiencing psychosis,Indexable — included in sitemap,http://localhost:3000/blog/how-to-talk-to-someone-experiencing-psychosis,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 2 H3 — Key points | Start with safety and connection | What usually makes the situation harder | Encourage assessment,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,26 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,165 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,958,None
/blog/normal-ageing-or-memory-problem,Medical informational page for normal ageing or memory problem,Normal Ageing or a Memory Problem? Signs to Notice,Normal Ageing or a Memory Problem? Signs to Notice,"Learn which everyday memory lapses may be common and which changes in judgement, navigation or independence deserve assessment.","Learn which everyday memory lapses may be common and which changes in judgement, navigation or independence deserve assessment.",Normal Ageing or a Memory Problem? Signs to Notice,Normal Ageing or a Memory Problem? Signs to Notice,Medical informational,normal ageing or a memory problem? signs to notice,Indexable — included in sitemap,http://localhost:3000/blog/normal-ageing-or-memory-problem,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,9 H2 / 0 H3 — Key points | Changes that deserve attention | Not every memory problem is dementia | What an assessment may include,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,25 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,160 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,882,None
/blog/ocd-more-than-cleanliness,Medical informational page for ocd more than cleanliness,OCD Is More Than Cleanliness: Hidden Symptoms Explained,OCD Is More Than Cleanliness: Hidden Symptoms Explained,"Learn how intrusive thoughts, checking, mental rituals and reassurance can be part of OCD—and why thoughts do not define character.","Learn how intrusive thoughts, checking, mental rituals and reassurance can be part of OCD—and why thoughts do not define character.",OCD Is More Than Cleanliness: Hidden Symptoms Explained,OCD Is More Than Cleanliness: Hidden Symptoms Explained,Medical informational,ocd is more than cleanliness: hidden symptoms explained,Indexable — included in sitemap,http://localhost:3000/blog/ocd-more-than-cleanliness,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 3 H3 — Key points | Obsessions and compulsions | Mental rituals can be easy to miss | Why reassurance has limits,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,26 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,166 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,925,None
/blog/panic-attack-what-happens-and-what-helps,Medical informational page for panic attack what happens and what helps,What Happens During a Panic Attack—and What Helps,What Happens During a Panic Attack—and What Helps,"Understand racing heart, breathlessness and fear during panic, when medical assessment is urgent, and how panic disorder is treated.","Understand racing heart, breathlessness and fear during panic, when medical assessment is urgent, and how panic disorder is treated.",What Happens During a Panic Attack—and What Helps,What Happens During a Panic Attack—and What Helps,Medical informational,what happens during a panic attack—and what helps,Indexable — included in sitemap,http://localhost:3000/blog/panic-attack-what-happens-and-what-helps,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 3 H3 — Key points | The alarm response | Do not assume every symptom is panic | What to do during a known panic episode,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,26 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,167 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,966,None
/blog/questions-before-psychiatric-medication,Medical informational page for questions before psychiatric medication,Psychiatric Medication: Seven Questions Worth Asking,Psychiatric Medication: Seven Questions Worth Asking,"A shared-decision guide to the goal, benefits, side effects, monitoring, duration and safe stopping of psychiatric medication.","A shared-decision guide to the goal, benefits, side effects, monitoring, duration and safe stopping of psychiatric medication.",Psychiatric Medication: Seven Questions Worth Asking,Psychiatric Medication: Seven Questions Worth Asking,Medical informational,psychiatric medication: seven questions worth asking,Indexable — included in sitemap,http://localhost:3000/blog/questions-before-psychiatric-medication,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,"9 H2 / 0 H3 — Key points | Questions to take into the consultation | What ‘lowest effective dose’ means | Side effects are data, not a reason for silence","index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,24 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,161 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,935,None
/blog/when-should-a-child-see-a-psychiatrist,Medical informational page for when should a child see a psychiatrist,When Should a Child See a Psychiatrist?,When Should a Child See a Psychiatrist?,"A parent-friendly guide to emotional, behavioural, school and developmental changes that may deserve child psychiatry assessment.","A parent-friendly guide to emotional, behavioural, school and developmental changes that may deserve child psychiatry assessment.",When Should a Child See a Psychiatrist?,When Should a Child See a Psychiatrist?,Medical informational,when should a child see a psychiatrist?,Indexable — included in sitemap,http://localhost:3000/blog/when-should-a-child-see-a-psychiatrist,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 1 H3 — Key points | Patterns worth noticing | What assessment involves | Parents are part of treatment,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,26 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,163 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,904,None
/blog/when-to-see-a-psychiatrist,Medical informational page for when to see a psychiatrist,When Should You See a Psychiatrist? A Practical Guide,When Should You See a Psychiatrist? A Practical Guide,"Learn which changes in mood, sleep, behaviour, substance use or memory suggest it is time to consult a psychiatrist in Vijayawada.","Learn which changes in mood, sleep, behaviour, substance use or memory suggest it is time to consult a psychiatrist in Vijayawada.",When Should You See a Psychiatrist? A Practical Guide,When Should You See a Psychiatrist? A Practical Guide,Medical informational,when should you see a psychiatrist? a practical guide,Indexable — included in sitemap,http://localhost:3000/blog/when-to-see-a-psychiatrist,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; Article; Organization; BreadcrumbList; ListItem; FAQPage; Question; Answer,10 H2 / 3 H3 — Key points | What a psychiatrist can help assess | Four questions that can guide the decision | When not to wait for an appointment,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,26 internal links; appointment linked,5 external links,No exact duplicate detected in initial pass,No material content issue,170 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,1127,None
/conditions,Branded informational page for conditions,Mental Health Conditions We Treat,Mental Health Conditions We Treat,"Explore clear, evidence-based guides to depression, anxiety, OCD, bipolar disorder, psychosis, addiction, sleep, child psychiatry, memory and more.","Explore clear, evidence-based guides to depression, anxiety, OCD, bipolar disorder, psychosis, addiction, sleep, child psychiatry, memory and more.",Understand the pattern. Find the right next step.,Understand the pattern. Find the right next step.,Branded informational,mental health conditions we treat,Indexable — included in sitemap,http://localhost:3000/conditions,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; BreadcrumbList; ListItem,31 H2 / 0 H3 — Depression | Anxiety | Panic Disorder | Obsessive-Compulsive Disorder (OCD),"index, follow",Complete,31 images; 0 missing alt; responsive Next images detected: false,46 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,No material content issue,236 KB HTML; 31 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,1273,None
/conditions/adhd,Medical informational with consultation intent page for adhd,ADHD Treatment in Vijayawada | Krishna Neuro,ADHD Treatment in Vijayawada | Krishna Neuro,"ADHD affects attention, impulse control and activity regulation across settings. Learn about assessment and treatment options at Krishna Neuro, Vijayawada.","ADHD affects attention, impulse control and activity regulation across settings. Learn about assessment and treatment options at Krishna Neuro, Vijayawada.",ADHD Treatment in Vijayawada,ADHD Treatment in Vijayawada,Medical informational with consultation intent,adhd treatment in vijayawada | krishna neuro,Indexable — included in sitemap,http://localhost:3000/conditions/adhd,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; MedicalWebPage; MedicalCondition; BreadcrumbList; ListItem; FAQPage; Question; Answer,11 H2 / 8 H3 — What Is ADHD ? | Symptoms of ADHD | Causes and Risk Factors | How Is ADHD Diagnosed?,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,28 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,No material content issue,194 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,1077,None
/conditions/adolescent-psychiatry,Medical informational with consultation intent page for adolescent psychiatry,Adolescent Psychiatry Treatment in Vijayawada | Krishna Neuro,Adolescent Psychiatry Treatment in Vijayawada | Krishna Neuro,"Adolescence brings rapid change. Learn about assessment and treatment options at Krishna Neuro, Vijayawada.","Adolescence brings rapid change. Learn about assessment and treatment options at Krishna Neuro, Vijayawada.",Adolescent Psychiatry Treatment in Vijayawada,Adolescent Psychiatry Treatment in Vijayawada,Medical informational with consultation intent,adolescent psychiatry treatment in vijayawada | krishna neuro,Indexable — included in sitemap,http://localhost:3000/conditions/adolescent-psychiatry,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; MedicalWebPage; MedicalCondition; BreadcrumbList; ListItem; FAQPage; Question; Answer,11 H2 / 8 H3 — What Is Adolescent Psychiatry ? | Symptoms of Adolescent Psychiatry | Causes and Risk Factors | How Is Adolescent Psychiatry Diagnosed?,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,28 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,No material content issue,200 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,1144,None
/conditions/alcohol-addiction,Medical informational with consultation intent page for alcohol addiction,Alcohol Addiction Treatment in Vijayawada | Krishna Neuro,Alcohol Addiction Treatment in Vijayawada | Krishna Neuro,"Alcohol dependence is a health condition, not a lack of willpower. Learn about assessment and treatment options at Krishna Neuro, Vijayawada.","Alcohol dependence is a health condition, not a lack of willpower. Learn about assessment and treatment options at Krishna Neuro, Vijayawada.",Alcohol Addiction Treatment in Vijayawada,Alcohol Addiction Treatment in Vijayawada,Medical informational with consultation intent,alcohol addiction treatment in vijayawada | krishna neuro,Indexable — included in sitemap,http://localhost:3000/conditions/alcohol-addiction,MedicalClinic; PostalAddress; GeoCoordinates; OpeningHoursSpecification; ContactPoint; Physician; WebSite; MedicalWebPage; MedicalCondition; BreadcrumbList; ListItem; FAQPage; Question; Answer,11 H2 / 8 H3 — What Is Alcohol Addiction ? | Symptoms of Alcohol Addiction | Causes and Risk Factors | How Is Alcohol Addiction Diagnosed?,"index, follow",Complete,1 images; 0 missing alt; responsive Next images detected: false,26 internal links; appointment linked,3 external links,No exact duplicate detected in initial pass,No material content issue,196 KB HTML; 1 images; lazy/responsive image review applied,viewport configured; semantic H1; image alt complete,appointment:true; call:true; WhatsApp:true; directions:true; local signals:true,canonical clinic/doctor naming consistent; no unsupported superlative detected,NO CHANGE,200,,1126,None
